diamond_id,value_tier,tier_label
75511684,mid_range,1
71937450,premium,2
75851119,investment_grade,3
74850725,mid_range,1
75791870,mid_range,1
75760760,mid_range,1
75533239,mid_range,1
76247889,budget,0
76341020,mid_range,1
75598681,mid_range,1
72924384,premium,2
75701618,mid_range,1
75533577,budget,0
76218478,mid_range,1
72270556,investment_grade,3
75141970,mid_range,1
75758266,investment_grade,3
73507801,budget,0
75594502,budget,0
75839264,mid_range,1
75756310,mid_range,1
75483930,mid_range,1
76356347,mid_range,1
73934432,budget,0
75855148,budget,0
75756590,budget,0
75518856,investment_grade,3
72691497,mid_range,1
75535614,mid_range,1
72002545,premium,2
75492915,mid_range,1
75823172,mid_range,1
61373741,mid_range,1
76274403,premium,2
75756150,mid_range,1
76324598,budget,0
76210194,mid_range,1
75537919,investment_grade,3
73513657,mid_range,1
75529771,budget,0
56377306,budget,0
76125877,investment_grade,3
72668885,premium,2
72270263,investment_grade,3
74714137,mid_range,1
73561748,mid_range,1
76274192,investment_grade,3
64945375,mid_range,1
74028025,mid_range,1
45313176,mid_range,1
76115992,mid_range,1
76010655,premium,2
73505518,mid_range,1
75533621,premium,2
76125804,premium,2
75612258,mid_range,1
73564036,budget,0
68273546,mid_range,1
75538943,mid_range,1
76340757,mid_range,1
74062681,mid_range,1
53265981,budget,0
60840674,mid_range,1
75228604,mid_range,1
75487959,mid_range,1
74062176,mid_range,1
76261612,mid_range,1
75684600,mid_range,1
62752965,budget,0
75594841,budget,0
75755194,mid_range,1
73935050,investment_grade,3
76262094,mid_range,1
74137031,budget,0
65593390,mid_range,1
75574747,investment_grade,3
75762231,mid_range,1
71115000,mid_range,1
75599122,mid_range,1
73510804,mid_range,1
74155146,mid_range,1
13716437,mid_range,1
74814391,investment_grade,3
75722074,mid_range,1
75592751,premium,2
57793171,premium,2
75721761,mid_range,1
76274563,mid_range,1
75720789,budget,0
75783809,investment_grade,3
75687239,premium,2
75600588,budget,0
75749878,mid_range,1
54429090,mid_range,1
75753190,mid_range,1
75597206,investment_grade,3
71122445,budget,0
75751809,mid_range,1
74129677,mid_range,1
56924412,mid_range,1
44921988,premium,2
75612584,premium,2
75916586,mid_range,1
74490241,mid_range,1
74062636,mid_range,1
76272995,mid_range,1
76210392,premium,2
75600505,budget,0
75324272,budget,0
75871591,mid_range,1
74101720,investment_grade,3
58969138,premium,2
75535956,mid_range,1
74497024,mid_range,1
74794592,investment_grade,3
63940694,mid_range,1
75763133,mid_range,1
76121314,premium,2
73507185,mid_range,1
75490813,mid_range,1
75759376,mid_range,1
75816956,mid_range,1
75755149,mid_range,1
76356669,budget,0
76218509,premium,2
75754188,mid_range,1
76121340,mid_range,1
76260199,mid_range,1
76274445,mid_range,1
76011118,mid_range,1
76357005,premium,2
75539012,premium,2
75492862,mid_range,1
76010979,mid_range,1
75762409,premium,2
73509241,mid_range,1
75753490,mid_range,1
75903130,mid_range,1
72911478,premium,2
75756583,investment_grade,3
75759916,mid_range,1
75598703,premium,2
